"Bacterial_human_pathogens","state","pathogen_class"
"Edwardsiella tarda",,3
"Eggerthella hongkongensis",,4
"Eggerthella lenta",,3
"Eggerthella sinensis",,4
"Eggerthia catenaformis",,4
"Ehrlichia chaffeensis",,1
"Ehrlichia ewingii",,1
"Eikenella corrodens",,3
"Eisenbergiella tayi",,4
"Elizabethkingia anophelis",,2
"Elizabethkingia meningoseptica",,2
"Empedobacter brevis","alias",3
"Enterobacter aerogenes",,3
"Enterobacter agglomerans","alias",3
"Enterobacter amnigenus",,3
"Enterobacter asburiae",,3
"Enterobacter cancerogenus",,3
"Enterobacter cloacae",,3
"Enterobacter gergoviae",,3
"Enterobacter hormaechei",,3
"Enterobacter intermedius","alias",3
"Enterobacter kobei",,3
"Enterobacter ludwigii",,3
"Enterobacter sakazakii",,3
"Enterococcus avium",,2
"Enterococcus casseliflavus",,3
"Enterococcus cecorum",,3
"Enterococcus dispar",,4
"Enterococcus durans",,3
"Enterococcus faecalis",,2
"Enterococcus faecium",,2
"Enterococcus flavescens","alias",3
"Enterococcus gallinarum",,3
"Enterococcus gilvus",,4
"Enterococcus hirae",,4
"Enterococcus malodoratus",,4
"Enterococcus mundtii",,4
"Enterococcus pallens",,4
"Enterococcus pseudoavium",,4
"Enterococcus raffinosus",,4
"Enterococcus solitarius","alias",4
"Erhlichia sennetsu","alias",4
"Erwinia persicinus",,4
"Erysipelothrix rhusiopathiae",,3
"Escherichia adecarboxylata","alias",4
"Escherichia albertii",,4
"Escherichia coli",,2
"Escherichia fergusonii",,4
"Escherichia hermanii",,4
"Escherichia vulneris",,4
"Eubacterium brachy",,4
"Eubacterium combesii",,4
"Eubacterium contortum",,4
"Eubacterium cylindroids",,4
"Eubacterium exiguum","alias",4
"Eubacterium infirmum",,4
"Eubacterium lentum","alias",4
"Eubacterium limosum",,4
"Eubacterium minutum",,4
"Eubacterium moniliforme",,4
"Eubacterium multiforme",,4
"Eubacterium nitrogenes",,4
"Eubacterium nodatum",,4
"Eubacterium plautii",,4
"Eubacterium rectale",,4
"Eubacterium saburreum",,4
"Eubacterium saphenum",,4
